Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Passing TDs,Rushing Yards,Receiving Yards,Passing Yards,Rush+Rec Yards,Anytime TD,Passing Attempts,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE)
Joe Ober,RB,C-C,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974960,0,2.4,0,12,,,,,,,,,,,,,,,,9/5/2026
Breyahn Townsend,RB,C-C,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974963,0,2.4,0,12,,,,,,,,,,,,,,,,9/5/2026
Kente Edwards,RB,C-C,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974966,0,2.4,0,12,,,,,,,,,,,,,,,,9/5/2026
Dawson Pough,WR,BC,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43975134,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7692.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
DJ Epps,WR,WVU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43975137,0,2.4,0,12,,,19.5,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7749.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Kwazi Gilmer,WR,NEB,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43975140,0,2.4,0,12,,,46,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7805.png,12/30/1899,OHIO @ NEB,Ohio @ Nebraska,"Memorial Stadium (Lincoln, NE)",outdoor,Fox Sports 1,9/5/2026
Brock Boyd,WR,OSU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43975143,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7874.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Aeryn Hampton,WR,ORST,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43975146,0,2.4,0,12,,,17.5,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8069.png,12/30/1899,ORST @ HOU,Oregon St @ Houston,TDECU Stadium,outdoor,ESPN,9/5/2026
Josh Ford,WR,BAMA,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43975149,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8166.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Patrick Overmyer,WR,UH,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43975152,0,2.4,0,12,,,27.5,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8224.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Corri Milliner,WR,UNT,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43975155,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/9033.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Girard Pringle Jr.,RB,MIA,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",4000,44006551,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7704.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Javian Mallory,RB,MIA,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",4000,44006554,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7704.png,,,,,,,9/4/2026
Chris Wheatley-Humphrey,RB,MIA,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",4000,44006557,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7704.png,,,,,,,9/4/2026
Jack Whitehouse,RB,MIA,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",4000,44006560,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7704.png,,,,,,,9/4/2026
Terrell Walden II,RB,MIA,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",4000,44006563,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7704.png,,,,,,,9/4/2026
Jonathan Hatton Jr.,RB,OU,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",4000,44006566,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7811.png,,,,,,,9/4/2026
DeZephen Walker,RB,OU,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",4000,44006569,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7811.png,,,,,,,9/4/2026
